Name,Latitude,Longitude
Ameerpet,17.4374614,78.4482878
Banjara Hills,17.4138277,78.4397584
Kukatpally,17.4947934,78.3996441
Madhapur,17.4482929,78.3914851
Begumpet,17.4447068,78.4663812
Secunderabad,17.4399295,78.4982741
Gachibowli,17.4400802,78.3489168
Hitech City,17.4474117,78.3762304
Jubilee Hills,17.4325235,78.40701519999999
KPHB,17.4833526,78.3870668
Kondapur,17.4622103,78.3568492
Miyapur,17.5125114,78.3522278
Abids,17.393,78.473
Uppal,17.3983774,78.5582652
Lingampally,17.4258687,78.0216792
Somajiguda,17.4237016,78.4583888
SR Nagar,17.4436497,78.4458259
Dilsukh Nagar,17.3687826,78.5246706
Himayat Nagar,17.4020637,78.4840052
A G Colony,9.1851989,-80.0534923
AG Colony,23.3563687,85.314268
AS Rao Nagar,17.4801573,78.55222289999999
Adarsh Nagar,26.9018355,75.8271951
Afzalgunj,17.3739335,78.4702215
Alwal,17.4980973,78.50270429999999
Amberpet,17.3922901,78.5178399
Ashok Nagar,24.5775148,77.7318495
Asif Nagar,17.3868117,78.4538802
Attapur,17.3677805,78.4328611
Auto Nagar,35.79154,-78.7811169
BHEL,23.2400638,77.46446069999999
Baghlingampally,17.3981907,78.4993452
Bahadurpura,17.3574259,78.4616959
Balanagar,16.9494342,78.1835179
Balapur,20.6882062,76.79135579999999
Balkampet,17.4419687,78.451038
Bandlaguda,17.3512922,78.3805953
Barkatpura,17.3920012,78.4969058
Basheerbagh,17.3990949,78.4773256
Begum Bazar,17.3748293,78.4704282
Bogaram,17.5051414,78.686673
Bolarum,17.5287165,78.5149691
Borabanda,17.4565082,78.4126163
Bowenpally,17.4764641,78.48836179999999
Champapet,17.3447337,78.5182911
Chanchalguda,17.3689086,78.4965043
Chanda Nagar,17.4936006,78.3252541
Chandrayangutta,17.306159,78.4738869
Chapel Road,41.8061087,-72.594054
Charminar,17.3615636,78.4746645
Cherlapally,17.4681116,78.5973645
Chikkadpally,17.4045742,78.4948376
DD Colony,17.4015693,78.5199399
DRDL,17.3371612,78.496837
Domalguda,17.4093433,78.48199029999999
ESI,33.4742368,-111.7433434
East Marredpally,17.4439784,78.51909959999999
Ecil,17.4639628,78.5788601
Erragadda,17.4562645,78.43082249999999
Falaknuma,17.3313295,78.46617119999999
Film Nagar,17.4141797,78.41169
Gagan Mahal,16.8264548,75.7181592
Gandhinagar,23.2156354,72.63694149999999
Golconda,17.383309,78.4010528
Goshamahal,17.3789045,78.46809019999999
Gunfoundry,17.3961832,78.4773256
Habsiguda,17.4096274,78.54411429999999
Hafeezpet,17.4841683,78.3602942
Hayathnagar,17.3271135,78.5912409
Hyderabad,17.385044,78.486671
Hyderguda,17.3942886,78.4822982
Ibrahimpatnam,17.1898529,78.64838429999999
Indira Nagar,12.9718915,77.6411545
Jambagh,17.3825549,78.4806421
Jeedimetla,17.5168199,78.4609854
Kachiguda,17.3896726,78.49601439999999
Kalyan Nagar,13.0280047,77.6399711
Kanchanbagh,17.3298811,78.5125518
Kapra,17.4887947,78.5716674
Karkhana,27.7089363,85.3310188
Karmanghat,17.3409592,78.5356645
Karwan,30.2022995,77.3625903
Kavadiguda,17.4171246,78.49064039999999
Khairatabad,17.4150606,78.46482879999999
King Koti,17.3942886,78.4822982
Kishanbagh,17.3552804,78.44324739999999
Kompally,17.5428814,78.48144730000001
Kothaguda,17.465292,78.3765548
Kothapet,17.3730192,78.547636
Koti,23.3296657,82.05705789999999
Krishna Nagar,23.4008744,88.5013962
Kushaiguda,17.4803978,78.5696423
Kutbullapur,17.4979684,78.4622467
LB Nagar,17.3457176,78.55222959999999
