SR. NO.,NAME,CLUSTER,CITY,LOCATION GROUP
1,Jamia Nagar,South Delhi,Delhi,General
2,Karkardooma,East Delhi,Delhi,General
3,Khanpur,South Delhi,Delhi,General
4,Mukherjee Nagar,North & Central Delhi,Delhi,General
5,Shastri Nagar,North & Central Delhi,Delhi,General
6,Pandav Nagar,East Delhi,Delhi,General
7,Prashant Vihar,West Delhi,Delhi,General
8,Rani Bagh,North & Central Delhi,Delhi,General
9,Sangam Vihar,South Delhi,Delhi,General
10,Shahdara,East Delhi,Delhi,General
11,Shakarpur,East Delhi,Delhi,General
12,Shakti Nagar,North & Central Delhi,Delhi,General
13,Yamuna Vihar,East Delhi,Delhi,General
15,Chirag Delhi,South Delhi,Delhi,General
16,Jasola Vihar,South Delhi,Delhi,General
17,Sarita Vihar,South Delhi,Delhi,General
18,Tughlagabad Extension,South Delhi,Delhi,General
