Vendor ID,Vendor name,Service Id,Service Name
2,Essar Fitness,4464,Gym workout
1,20-15 Fitness,1,Functional Training beginner
1,20-15 Fitness,2910,Aerial Fitness
1,20-15 Fitness,12383,sdfcsg
1,20-15 Fitness,12889,Disha's Zumba at Bandra
3,Workouts Gym,6981,Gym Workout
4,Fitness Point,5580,Gym Workout
4,Fitness Point,18468,Personal Training
9,Xtreme Fitness,8531,Gym Workout
9,Xtreme Fitness,8532,Gym and Cardio Membership
9,Xtreme Fitness,8533,Gym Membership (Ladies)
9,Xtreme Fitness,8534,Gym and Cardio Membership (Ladies)
9,Xtreme Fitness,15408,Gym Workout
9,Xtreme Fitness,16142,Personal Training
11,Neha Chandna,9942,Nutrition Counselling
12,Max Power House,5586,Gym Workout
13,Big Boss The Gym,4468,Gym workout
14,The Ultimate 6 Pack Fitness Hub,9320,Gym Workout
14,The Ultimate 6 Pack Fitness Hub,15135,Personal Training
14,The Ultimate 6 Pack Fitness Hub,15136,Weight Loss Program
15,Giri Gym and Fitness Center(Only Gents ),5592,Gym Workout
16,Sangeet Abhinay Academy,5595,Dance
17,K Fitness,4472,Gym workout
18,Sheela Tanna,9921,Nutrition Counselling
18,Sheela Tanna,9922,Weight loss program
18,Sheela Tanna,10450,Nutrition For Fitness
18,Sheela Tanna,10451,Nutrition For Menopause
18,Sheela Tanna,10452,Nutrition For Arthritis
18,Sheela Tanna,10454,Nutrition For Osteoporosis
18,Sheela Tanna,10455,Nutrition For Old Age
18,Sheela Tanna,10456,Nutrition For PCOD
19,Shiv sai ganesh gym,5601,Gym Workout
20,Matoshri Gym,11116,Gym
22,Mhatre's Fitness Mantra,2253,Gym Workout
22,Mhatre's Fitness Mantra,15621,Personal Training
25,Body Art,869,Gym workout
25,Body Art,870,Aerobics Class
25,Body Art,871,Pilates class
25,Body Art,4075,Aqua Aerobics
26,Body Art,874,Gym
26,Body Art,875,Aerobics class
26,Body Art,4126,Pilates
31,Image Modern Health Planet,4383,Gym Workout
32,Fitness Planet,4400,gym
34,Perfect Fitness Gym,4385,Gym workout
34,Perfect Fitness Gym,18924,Weight Loss Programme
35,Bowlekar's health fitness,4386,gym workout
36,Sachin Fitness,5491,Gym
37,The Arena,11037,Football league
38,Sadhana Dance Academy,4391,dance
40,Eco Fitness,1136,Power Yoga
40,Eco Fitness,1137,Zumba
40,Eco Fitness,1138,Spinning
40,Eco Fitness,1139,Gym Workout
41,Havovi M Sukhadwala,9914,Nutrition Counseling 
44,Karishma Chawla,9915,Nutrition Counseling 
45,Gym & Tonic,4309,gym workout
46,Appropriate Diet,9919,Nutrition Counselling 
46,Appropriate Diet,9920,Weight Loss Program 
47,Prayas The Gym,11039,Gym Workout
47,Prayas The Gym,11040,Power Yoga
47,Prayas The Gym,11041,Personal Training
47,Prayas The Gym,15515,Gym Workout
47,Prayas The Gym,19015,Power Yoga + Crossfit
50,Aryan Fitness and Gym,4833,Gym Workout all
57,The Body Zone Gym,5219,Gym Workout
60,Make me fit,5284,Gym
61,Kinetic Living,3422,'Boot'ique Membership at Tangerine
61,Kinetic Living,9123,Personal Training
62,Ren Kick Boxing And Self Defence Academy,5285,Mixed martial arts at New SNDT Hall, Ghatkopar West
62,Ren Kick Boxing And Self Defence Academy,18969,Mixed Martial Arts at Gold's Gym, Powai
66,Nikhil Dilip Kumbhar,5291,Personal training for gym
70,Fitt n Trim,5294,Gym
71,Matruchhaya Gymnasium,5301,gym
73,King's Gym,5257,gym
74,Dynamic Gym,5408,Gym
75,First In Fitness (Ladies Only),8535,Gym Membership + Cardio ( 6 Days )
75,First In Fitness (Ladies Only),8536,Gym Workout
75,First In Fitness (Ladies Only),8537,Spinning
75,First In Fitness (Ladies Only),8539,Combo ( 3 Days Spin + 3 Days Cardio + Weight )
75,First In Fitness (Ladies Only),18321,Combine Package
78,Ideal Gym,5071,Gym
83,Shree Vithal Vyam Mandir Trust,5075,gym
89,Smita Shah,5424,Yoga
92,Ayurmantra Yoga Power Yoga Meditation Pranic Healing Clinic,5172,Yoga
97,Edge Fitness,5374,Gym Workout
97,Edge Fitness,5375,Zumba Classes
97,Edge Fitness,5377,Functional Training
98,Yoga Tantra,5462,Yoga
99,Flowing Wheel,5337,Mixed Martial Arts
111,Gurukrupa Yoga Classes,17404,Yoga
113,Serenity Yog Meditation,5174,Yoga
117,Shri Ambika Yog Kutir,5177,Yoga
118,Positive Health Option,5178,Yoga
119,Body Attitude Fitness Studio,4671,Gym workout
120,Yog Jeevan,5180,Yoga
121,Traditional Yoga Centre,5183,Yoga
122,Sumit Yoga Trainer,5434,Power yoga
126,Gold Gymnasium,4673,Gym workout
127,Alka Mohan Salve Yoga,5437,Power yoga
129,Benefit Fitness Management,8568,Crossfitness
129,Benefit Fitness Management,15702,Transformation Program
130,Yoga Academy,4721,Pranayama
131,Planet Health,922,Gym workout
136,Kalidas Gym,5429,Gym Workout
138,Frequencee,513,Zumba Toning
138,Frequencee,514,Zumba Step
138,Frequencee,547,TRX Suspension
138,Frequencee,548,Pilates
138,Frequencee,549,Bokwa
138,Frequencee,551,Piloxing
138,Frequencee,552,Circuit Training
138,Frequencee,553,Pilates Swiss Ball
138,Frequencee,557,Unlimited Workout
138,Frequencee,694,Zumba Sentao
138,Frequencee,695,Trampoline Workout
138,Frequencee,1121,Masala Bhangra Workout
138,Frequencee,1122,Kids Yoga (Ages 7 to 16) 
138,Frequencee,1123,Zumba
138,Frequencee,12340,Zumba
138,Frequencee,16080,Studio Membership
139,New York Gym,923,Gym Workout
142,Mesomorph The Gym,5037,Gym Workout
142,Mesomorph The Gym,15799,Personal Training
142,Mesomorph The Gym,16725,Gym Workout + Nutrition Counselling
142,Mesomorph The Gym,16726,Nutrition Counselling
143,Mantra Gym,6788,Super Fitness (Gym Workout)
143,Mantra Gym,6791,Power Yoga
143,Mantra Gym,13121,Crossfit
143,Mantra Gym,15375,Personal Training
147,Fighting Fit,101,Martial Arts for Kids at Bandra
147,Fighting Fit,104,Martial Arts at Bandra 
147,Fighting Fit,106,Martial Arts at Juhu
147,Fighting Fit,9865,Martial Arts at Versova 
147,Fighting Fit,12095,Martial Arts at Bhayandar
147,Fighting Fit,12096,Martial Arts at Vasai
147,Fighting Fit,12098,Martial Arts at Nerul
147,Fighting Fit,12530,Kick-Boxing at Versova
147,Fighting Fit,13384,Studio Mojo Martial Arts
149,Yogoda Satsanga Dhyana Kendra,5401,Meditation 
149,Yogoda Satsanga Dhyana Kendra,5403,Meditation  all
151,Yuj,5410,Traditional Yoga 
152,Dr Kunals Yoga And Fitness Exercise,4050,Physiotherapist
153,Aim Yoga,4034,Yoga
154,Bay View Yoga Classes,3807,Yoga
161,Iyengar Yogashraya,4010,Iyengar yoga
165,Onyx gymnasium,5310,gym
166,Yog Power Studio Pvt Ltd.,6934,Zumba
166,Yog Power Studio Pvt Ltd.,6938,Titli Yoga
166,Yog Power Studio Pvt Ltd.,12193,Yoga and Zumba
166,Yog Power Studio Pvt Ltd.,12196,Yoga or Zumba
166,Yog Power Studio Pvt Ltd.,12199,Personal Training Yoga
166,Yog Power Studio Pvt Ltd.,16032,Yoga
166,Yog Power Studio Pvt Ltd.,16033,Weight Loss Programme
170,Quest Fitness,832,Functional training
171,Beyond Fitness,2278,Gym Workout
171,Beyond Fitness,15965,Functional Training
171,Beyond Fitness,15966,Yoga
171,Beyond Fitness,15967,Absolute Abs
171,Beyond Fitness,15969,Personal Training
172,Swabhimani Gym,5581,Gym Workout 
174,Workout Gym,3645,Gym Workout
176,Sp Fitness Centre,3813,Gym
178,X-Trim Fitness,5230,Gym 
179,Reetas Revive Gym and Fitness Studio,5242,Gym Workout
179,Reetas Revive Gym and Fitness Studio,5244,Patanjali Yoga 
179,Reetas Revive Gym and Fitness Studio,5245,Power Yoga 
179,Reetas Revive Gym and Fitness Studio,6139,Zumba
179,Reetas Revive Gym and Fitness Studio,6140,Ballroom Dance
179,Reetas Revive Gym and Fitness Studio,6141,Hip-Hop, Salsa and Bachata
179,Reetas Revive Gym and Fitness Studio,12431,Power Yoga
179,Reetas Revive Gym and Fitness Studio,12733,Vinyasa Yoga
179,Reetas Revive Gym and Fitness Studio,13251,Functional Training
179,Reetas Revive Gym and Fitness Studio,14604,Bollyfuze
179,Reetas Revive Gym and Fitness Studio,14605,Salsa
179,Reetas Revive Gym and Fitness Studio,16050,Belly Dance
179,Reetas Revive Gym and Fitness Studio,16051,Ballet Dancing
179,Reetas Revive Gym and Fitness Studio,17277,Personal Training
180,Carewell Fitness The Gym,5246,Gym
181,Get Fit Health Zone,5313,Gym
183,Shree Fitness,17468,Gym Workout
183,Shree Fitness,17469,Personal Training
187,Sanskar Yoga Health & Excellence Institute,5187,Yoga
188,Yoga With Kush,3738,Yoga at Mahim (West)
188,Yoga With Kush,3740,Yoga at Mahalaxmi
190,Shwet Yoga,3827,Yoga @ Worlds Gym
190,Shwet Yoga,3828,Yoga @ Nitro Sports & Fitness Center
190,Shwet Yoga,3829,Aerobics @ Worlds Gym
190,Shwet Yoga,3830,Aerobics @ Nitro Sports & Fitness Center
191,Arogyam Yoga - Personal Trainers,3814,Power Yoga 
192,Kamal Yoga Tutor,3634,Yoga
193,Shiv Ganesh Yoga,4901,Traditional Yoga at Home
193,Shiv Ganesh Yoga,4905,Power Yoga at Home
193,Shiv Ganesh Yoga,4908,Traditional Yoga (Group)
193,Shiv Ganesh Yoga,4910,Power Yoga (Group)
193,Shiv Ganesh Yoga,4915,Pre-Natal Yoga at Home
193,Shiv Ganesh Yoga,4919,Garb Sanskar
196,Raj Shree Yoga,5080,Yoga
196,Raj Shree Yoga,16160,Prenatal Yoga
197,Power Pack Fitness Center,4160,Gym
199,Anandi Yogakutir,4035,Yoga
201,Nitin Yoga & Meditation,4526,Meditation
202,Abbas Gym,4167,Gym
210,Sai Ganesh Yoga Center,5043,Traditional Yoga 
214,Devendra Yog Prashikshan Kendra,5034,Yoga
215,Bubbles Yoga Class,4128,Yoga
217,Anjali Sahu,115,Stretches
217,Anjali Sahu,175,Meditation
217,Anjali Sahu,177,Pranayamas
217,Anjali Sahu,13412,Pranayam & Stretches
217,Anjali Sahu,13703,Combined Workout
219,Roxy Gym,5038,Gym
220,Abhishek Yoga Instructor,5042,Yoga
223,Terence Lewis Professional Training Institute,926,Dance Pe Lo Chance
223,Terence Lewis Professional Training Institute,18380,Young Masters Program
223,Terence Lewis Professional Training Institute,18381,Diploma In Dance Foundation Course
224,Kohl Movement - A Belly dance Company,394,Belly Dance at Khar(W)
224,Kohl Movement - A Belly dance Company,760,Belly Dance at Andheri(W)
224,Kohl Movement - A Belly dance Company,761,Belly Dance at Mulund(W)
224,Kohl Movement - A Belly dance Company,7588,Belly Dance at Kandivali (E)
224,Kohl Movement - A Belly dance Company,8827,Belly Dance at Charni Road
224,Kohl Movement - A Belly dance Company,8828,Belly Dance at Sion
224,Kohl Movement - A Belly dance Company,11202,Braided Smoke Independent Classes at Khar
224,Kohl Movement - A Belly dance Company,15501,Belly Dance at Powai
226,Parulekars Gym & Fitness Centre,5045,Gym
226,Parulekars Gym & Fitness Centre,7603,Functional Training
226,Parulekars Gym & Fitness Centre,7606,Gym+Steam
227,Health of Green,11044,All forms of Yoga 
228,Ares N Vikings - The Fitness Club,4878,Gym Workout
230,Fitness Step,4879,Gym
232,Organised Chaos Studio,763,Belly dancing class
232,Organised Chaos Studio,764,Zumba Class
232,Organised Chaos Studio,765,Salsa Classes by Santosh and Suman
232,Organised Chaos Studio,766,Bachata
232,Organised Chaos Studio,771,Salsa Classes by Vineet Bangera
232,Organised Chaos Studio,772,Flamenco
233,RT Dance Academy,4129,Dance
237,Rukhsana Khan's Yoga Classes,4880,Traditional Yoga
239,Midas Touch Dance Studio,17889,Midas Touch Dance Studio
244,Classic Fitness,4881,gym
245,Orbit Gym,5053,Gym 
246,Nrityasanskar,4675,Kathak
247,Sandesh Ambekar,8979,Personal Training
249,Rhythm,4654,Freestyle
250,Asthang Yoga Classes,4777,Ashtanga Yoga
252,Puja's Yoga Classes,4836,Combine Training
253,Samarth Shree Gym,4174,Gym
254,Yoga Living,4907,Power Yoga 
255,M V Joglekar,4911,Traditional Yoga 
256,New York Gym,924,Gym Workout
257,Yoga Nugget,11048,Yoga personal training
258,Naach Dance Academy,5022,Dance Classes
260,Naach Dance Academy,4393,Freestyle
261,Darekars Fitness Club,5651,Gym workout
263,Figure In Health Care,4837,gym
265,Bodysmith Fitness N Wellness,4839,gym
266,16Hour Fitness Center,5653,Gym
270,Sarvoday Vyayam Shalla,4710,Gym 
271,H M Fitness Centre,4842,gym
272,Ankur Gym,4714,Gym
274,Health and Fitness Centre,4843,gym
